Time,Heart Rate
00:00:08,85
00:00:13,85
00:00:18,84
00:00:23,83
00:00:28,84
00:00:38,85
00:00:43,85
00:00:50,85
00:01:05,85
00:01:20,85
00:01:30,85
00:01:35,85
00:01:45,84
00:02:00,84
00:02:05,84
00:02:10,89
00:02:20,88
00:02:30,84
00:02:35,82
00:02:40,83
00:02:45,83
00:03:00,83
00:03:05,82
00:03:10,82
00:03:25,82
00:03:35,89
00:03:50,89
00:04:05,89
00:04:15,89
00:04:25,88
00:04:40,95
00:04:45,99
00:04:50,97
00:04:55,95
00:05:02,94
00:05:07,86
00:05:12,83
00:05:17,85
00:05:22,83
00:05:27,84
00:05:32,83
00:05:47,83
00:05:57,85
00:06:02,87
00:06:12,87
00:06:17,88
00:06:22,89
00:06:27,87
00:06:32,87
00:06:47,87
00:06:57,87
00:07:02,87
00:07:07,82
00:07:22,83
00:07:37,83
00:07:47,82
00:07:52,83
00:07:57,82
00:08:02,83
00:08:07,84
00:08:12,84
00:08:19,84
00:08:34,82
00:08:39,83
00:08:44,83
00:08:59,84
00:09:09,84
00:09:14,83
00:09:29,84
00:09:34,83
00:09:39,83
00:09:54,86
00:10:04,85
00:10:09,86
00:10:14,84
00:10:19,82
00:10:24,79
00:10:34,80
00:10:39,82
00:10:44,80
00:10:49,81
00:10:54,81
00:10:59,82
00:11:09,81
00:11:14,82
00:11:19,82
00:11:29,83
00:11:39,84
00:11:46,84
00:12:01,84
00:12:06,97
00:12:11,100
00:12:16,97
00:12:21,92
00:12:26,88
00:12:31,82
00:12:36,83
00:12:46,84
00:12:51,85
00:12:56,83
00:13:01,83
00:13:06,83
00:13:11,81
00:13:16,82
00:13:21,83
00:13:26,84
00:13:31,86
00:13:36,85
00:13:41,84
00:13:46,85
00:14:01,85
00:14:06,84
00:14:11,85
00:14:16,82
00:14:22,80
00:14:37,81
00:14:42,81
00:14:47,79
00:14:52,81
00:14:57,83
00:15:02,86
00:15:07,89
00:15:12,92
00:15:17,85
00:15:22,81
00:15:27,78
00:15:32,79
00:15:37,82
00:15:42,85
00:15:47,83
00:15:52,82
00:16:02,83
00:16:07,82
00:16:12,83
00:16:17,84
00:16:27,84
00:16:42,91
00:16:47,92
00:16:52,95
00:16:57,91
00:17:02,90
00:17:09,83
00:17:14,79
00:17:19,78
00:17:29,79
00:17:44,79
00:17:49,80
00:17:59,81
00:18:04,81
00:18:14,86
00:18:19,86
00:18:29,89
00:18:34,88
00:18:39,83
00:18:44,80
00:18:49,79
00:19:04,79
00:19:19,80
00:19:34,80
00:19:39,81
00:19:44,87
00:19:49,90
00:19:59,91
00:20:04,88
00:20:14,88
00:20:24,85
00:20:29,82
00:20:34,81
00:20:41,80
00:20:51,79
00:21:01,79
00:21:06,79
00:21:11,78
00:21:26,78
00:21:31,82
00:21:36,83
00:21:46,82
00:22:01,82
00:22:11,83
00:22:16,85
00:22:21,86
00:22:26,90
00:22:31,93
00:22:41,92
00:22:46,91
00:22:51,82
00:22:56,78
00:23:01,80
00:23:11,80
00:23:16,79
00:23:26,78
00:23:31,77
00:23:41,81
00:23:46,86
00:23:52,82
00:23:57,79
00:24:07,77
00:24:12,79
00:24:17,79
00:24:22,78
00:24:27,73
00:24:32,73
00:24:37,74
00:24:47,75
00:25:02,75
00:25:07,78
00:25:12,77
00:25:17,78
00:25:27,79
00:25:32,79
00:25:37,80
00:25:42,79
00:25:47,78
00:25:52,79
00:25:57,78
00:26:02,79
00:26:12,81
00:26:17,82
00:26:22,84
00:26:27,81
00:26:32,79
00:26:38,79
00:26:43,80
00:26:48,79
00:26:53,78
00:26:58,79
00:27:08,78
00:27:23,84
00:27:28,82
00:27:33,82
00:27:48,82
00:27:53,83
00:28:08,83
00:28:13,93
00:28:18,89
00:28:23,88
00:28:28,81
00:28:33,79
00:28:43,84
00:28:48,86
00:28:53,80
00:28:58,78
00:29:03,82
00:29:08,84
00:29:13,82
00:29:18,77
00:29:23,75
00:29:30,74
00:29:35,73
00:29:40,74
00:29:50,75
00:29:55,77
00:30:10,73
00:30:15,75
00:30:25,76
00:30:30,76
00:30:35,76
00:30:45,77
00:30:50,79
00:30:55,79
00:31:00,78
00:31:05,72
00:31:10,76
00:31:15,73
00:31:30,77
00:31:35,79
00:31:40,77
00:31:45,76
00:31:55,75
00:32:00,76
00:32:10,77
00:32:15,80
00:32:30,80
